gs.name,g.name
all_multidrug-resistance,ABCC4
all_multidrug-resistance,ABCB4
all_multidrug-resistance,ABCC3
all_multidrug-resistance,ABCC1
all_porphyrine-heme_metabolism,UROS
all_porphyrine-heme_metabolism,BLVRA
all_porphyrine-heme_metabolism,FTH1
all_porphyrine-heme_metabolism,SLC46A1
all_porphyrine-heme_metabolism,PPOX
all_porphyrine-heme_metabolism,CPOX
all_porphyrine-heme_metabolism,HCCS
all_porphyrine-heme_metabolism,ALAS1
all_porphyrine-heme_metabolism,HMBS
all_porphyrine-heme_metabolism,SLCO1B1
all_porphyrine-heme_metabolism,ALAD
all_porphyrine-heme_metabolism,HMOX1
all_porphyrine-heme_metabolism,BLVRB
all_porphyrine-heme_metabolism,HMOX2
all_porphyrine-heme_metabolism,FTMT
all_porphyrine-heme_metabolism,UROD
all_porphyrine-heme_metabolism,SLCO1B3
all_porphyrine-heme_metabolism,CYBRD1
all_porphyrine-heme_metabolism,FECH
all_porphyrine-heme_metabolism,ALAS2
CD8-T_tumor-reactive-like_UP,MKI67
CD8-T_tumor-reactive-like_UP,TNFRSF9
CD8-T_tumor-reactive-like_UP,TNFRSF18
CD8-T_tumor-reactive-like_UP,GZMA
CD8-T_tumor-reactive-like_UP,IFNG
CD8-T_tumor-reactive-like_UP,ENTPD1
CD8-T_tumor-reactive-like_UP,ITGAE
CD8-T_tumor-reactive-like_UP,CXCL13
all_TNF-via-NFkB_signaling,PDE4B
all_TNF-via-NFkB_signaling,PTGER4
all_TNF-via-NFkB_signaling,ATP2B1
all_TNF-via-NFkB_signaling,CCL2
all_TNF-via-NFkB_signaling,TAP1
all_TNF-via-NFkB_signaling,BCL2A1
all_TNF-via-NFkB_signaling,CLCF1
all_TNF-via-NFkB_signaling,SDC4
all_TNF-via-NFkB_signaling,JAG1
all_TNF-via-NFkB_signaling,TSC22D1
all_TNF-via-NFkB_signaling,MARCKS
all_TNF-via-NFkB_signaling,TANK
all_TNF-via-NFkB_signaling,PPP1R15A
all_TNF-via-NFkB_signaling,SPSB1
all_TNF-via-NFkB_signaling,CCND1
all_TNF-via-NFkB_signaling,PDLIM5
all_TNF-via-NFkB_signaling,SIK1
all_TNF-via-NFkB_signaling,KLF6
all_TNF-via-NFkB_signaling,NFIL3
all_TNF-via-NFkB_signaling,CCL20
all_TNF-via-NFkB_signaling,PANX1
all_TNF-via-NFkB_signaling,JUN
all_TNF-via-NFkB_signaling,BTG1
all_TNF-via-NFkB_signaling,TRAF1
all_TNF-via-NFkB_signaling,SPHK1
all_TNF-via-NFkB_signaling,IL6
all_TNF-via-NFkB_signaling,NR4A2
all_TNF-via-NFkB_signaling,GEM
all_TNF-via-NFkB_signaling,BTG2
all_TNF-via-NFkB_signaling,CXCL3
all_TNF-via-NFkB_signaling,IER3
all_TNF-via-NFkB_signaling,DDX58
all_TNF-via-NFkB_signaling,NINJ1
all_TNF-via-NFkB_signaling,RNF19B
all_TNF-via-NFkB_signaling,KLF4
all_TNF-via-NFkB_signaling,B4GALT1
all_TNF-via-NFkB_signaling,NFE2L2
all_TNF-via-NFkB_signaling,GADD45B
all_TNF-via-NFkB_signaling,GFPT2
all_TNF-via-NFkB_signaling,FOSL1
all_TNF-via-NFkB_signaling,DUSP1
all_TNF-via-NFkB_signaling,CXCL10
all_TNF-via-NFkB_signaling,TIPARP
all_TNF-via-NFkB_signaling,SLC2A6
all_TNF-via-NFkB_signaling,EIF1
all_TNF-via-NFkB_signaling,IL12B
all_TNF-via-NFkB_signaling,ZFP36
all_TNF-via-NFkB_signaling,BIRC3
all_TNF-via-NFkB_signaling,CSF2
all_TNF-via-NFkB_signaling,CD44
all_TNF-via-NFkB_signaling,NFKB2
all_TNF-via-NFkB_signaling,RHOB
all_TNF-via-NFkB_signaling,CXCL8
all_TNF-via-NFkB_signaling,BMP2
all_TNF-via-NFkB_signaling,TNFAIP2
all_TNF-via-NFkB_signaling,JUNB
all_TNF-via-NFkB_signaling,TNFRSF9
all_TNF-via-NFkB_signaling,SERPINB8
all_TNF-via-NFkB_signaling,RIPK2
all_TNF-via-NFkB_signaling,IL23A
all_TNF-via-NFkB_signaling,MAFF
all_TNF-via-NFkB_signaling,DUSP4
all_TNF-via-NFkB_signaling,IL15RA
all_TNF-via-NFkB_signaling,MAP2K3
all_TNF-via-NFkB_signaling,PLK2
all_TNF-via-NFkB_signaling,OLR1
all_TNF-via-NFkB_signaling,LAMB3
all_TNF-via-NFkB_signaling,F2RL1
all_TNF-via-NFkB_signaling,CXCL1
all_TNF-via-NFkB_signaling,EHD1
all_TNF-via-NFkB_signaling,SNN
all_TNF-via-NFkB_signaling,GADD45A
all_TNF-via-NFkB_signaling,IRF1
all_TNF-via-NFkB_signaling,ICOSLG
all_TNF-via-NFkB_signaling,TLR2
all_TNF-via-NFkB_signaling,HES1
all_TNF-via-NFkB_signaling,TGIF1
all_TNF-via-NFkB_signaling,INHBA
all_TNF-via-NFkB_signaling,KYNU
all_TNF-via-NFkB_signaling,GCH1
all_TNF-via-NFkB_signaling,BCL6
all_TNF-via-NFkB_signaling,CCRL2
all_TNF-via-NFkB_signaling,TRIB1
all_TNF-via-NFkB_signaling,TNC
all_TNF-via-NFkB_signaling,PTX3
all_TNF-via-NFkB_signaling,REL
all_TNF-via-NFkB_signaling,PNRC1
all_TNF-via-NFkB_signaling,BTG3
all_TNF-via-NFkB_signaling,CXCL11
all_TNF-via-NFkB_signaling,PLAU
all_TNF-via-NFkB_signaling,KLF9
all_TNF-via-NFkB_signaling,ICAM1
all_TNF-via-NFkB_signaling,NAMPT
all_TNF-via-NFkB_signaling,B4GALT5
all_TNF-via-NFkB_signaling,MYC
all_TNF-via-NFkB_signaling,IRS2
all_TNF-via-NFkB_signaling,HBEGF
all_TNF-via-NFkB_signaling,DRAM1
all_TNF-via-NFkB_signaling,LITAF
all_TNF-via-NFkB_signaling,NFAT5
all_TNF-via-NFkB_signaling,PLAUR
all_TNF-via-NFkB_signaling,RELB
all_TNF-via-NFkB_signaling,IL6ST
all_TNF-via-NFkB_signaling,IFIH1
all_TNF-via-NFkB_signaling,EGR2
all_TNF-via-NFkB_signaling,PHLDA1
all_TNF-via-NFkB_signaling,CCNL1
all_TNF-via-NFkB_signaling,LIF
all_TNF-via-NFkB_signaling,VEGFA
all_TNF-via-NFkB_signaling,SMAD3
all_TNF-via-NFkB_signaling,MSC
all_TNF-via-NFkB_signaling,PMEPA1
all_TNF-via-NFkB_signaling,IER2
all_TNF-via-NFkB_signaling,EDN1
all_TNF-via-NFkB_signaling,TRIP10
all_TNF-via-NFkB_signaling,NFKBIA
all_TNF-via-NFkB_signaling,PLPP3
all_TNF-via-NFkB_signaling,FUT4
all_TNF-via-NFkB_signaling,EFNA1
all_TNF-via-NFkB_signaling,IL7R
all_TNF-via-NFkB_signaling,FJX1
all_TNF-via-NFkB_signaling,BCL3
all_TNF-via-NFkB_signaling,SERPINB2
all_TNF-via-NFkB_signaling,ZC3H12A
all_TNF-via-NFkB_signaling,CEBPD
all_TNF-via-NFkB_signaling,FOS
all_TNF-via-NFkB_signaling,ETS2
all_TNF-via-NFkB_signaling,IL1B
all_TNF-via-NFkB_signaling,FOSB
all_TNF-via-NFkB_signaling,SOD2
all_TNF-via-NFkB_signaling,TNF
all_TNF-via-NFkB_signaling,SGK1
all_TNF-via-NFkB_signaling,CDKN1A
all_TNF-via-NFkB_signaling,FOSL2
all_TNF-via-NFkB_signaling,PFKFB3
all_TNF-via-NFkB_signaling,CD80
all_TNF-via-NFkB_signaling,IFNGR2
all_TNF-via-NFkB_signaling,TNIP2
all_TNF-via-NFkB_signaling,IFIT2
all_TNF-via-NFkB_signaling,ABCA1
all_TNF-via-NFkB_signaling,MAP3K8
all_TNF-via-NFkB_signaling,TNFAIP3
all_TNF-via-NFkB_signaling,LDLR
all_TNF-via-NFkB_signaling,IL1A
all_TNF-via-NFkB_signaling,CD83
all_TNF-via-NFkB_signaling,NR4A3
all_TNF-via-NFkB_signaling,DNAJB4
all_TNF-via-NFkB_signaling,RCAN1
all_TNF-via-NFkB_signaling,FP565260.3
all_TNF-via-NFkB_signaling,SOCS3
all_TNF-via-NFkB_signaling,MCL1
all_TNF-via-NFkB_signaling,TNIP1
all_TNF-via-NFkB_signaling,CD69
all_TNF-via-NFkB_signaling,CCL5
all_TNF-via-NFkB_signaling,DUSP5
all_TNF-via-NFkB_signaling,F3
all_TNF-via-NFkB_signaling,DUSP2
all_TNF-via-NFkB_signaling,NFKB1
all_TNF-via-NFkB_signaling,CCL4
all_TNF-via-NFkB_signaling,EGR1
all_TNF-via-NFkB_signaling,SAT1
all_TNF-via-NFkB_signaling,STAT5A
all_TNF-via-NFkB_signaling,EGR3
all_TNF-via-NFkB_signaling,RELA
all_TNF-via-NFkB_signaling,BHLHE40
all_TNF-via-NFkB_signaling,IER5
all_TNF-via-NFkB_signaling,AREG
all_TNF-via-NFkB_signaling,KLF2
all_TNF-via-NFkB_signaling,IL18
all_TNF-via-NFkB_signaling,KLF10
all_TNF-via-NFkB_signaling,SQSTM1
all_TNF-via-NFkB_signaling,CXCL2
all_TNF-via-NFkB_signaling,TNFSF9
all_TNF-via-NFkB_signaling,ID2
all_TNF-via-NFkB_signaling,NR4A1
all_TNF-via-NFkB_signaling,CXCL6
all_TNF-via-NFkB_signaling,YRDC
all_TNF-via-NFkB_signaling,ZBTB10
all_TNF-via-NFkB_signaling,CCN1
all_TNF-via-NFkB_signaling,CSF1
all_TNF-via-NFkB_signaling,KDM6B
all_TNF-via-NFkB_signaling,PLEK
all_TNF-via-NFkB_signaling,TNFAIP6
all_TNF-via-NFkB_signaling,BIRC2
all_TNF-via-NFkB_signaling,SLC2A3
all_TNF-via-NFkB_signaling,DENND5A
all_TNF-via-NFkB_signaling,PTPRE
all_TNF-via-NFkB_signaling,SLC16A6
all_TNF-via-NFkB_signaling,SERPINE1
all_TNF-via-NFkB_signaling,GPR183
all_TNF-via-NFkB_signaling,PHLDA2
all_TNF-via-NFkB_signaling,ATF3
all_TNF-via-NFkB_signaling,CFLAR
all_TNF-via-NFkB_signaling,NFKBIE
all_TNF-via-NFkB_signaling,PER1
all_TNF-via-NFkB_signaling,CEBPB
all_TNF-via-NFkB_signaling,G0S2
all_TNF-via-NFkB_signaling,MXD1
all_TNF-via-NFkB_signaling,PTGS2
all_TNF-via-NFkB_signaling,TUBB2A
all_TNF-via-NFkB_signaling,ACKR3
all_TNF-via-NFkB_signaling,TNFAIP8
all_glyoxylate-dicarboxylate_metabolism,HAGHL
all_glyoxylate-dicarboxylate_metabolism,HAO2
all_glyoxylate-dicarboxylate_metabolism,HAO1
all_glyoxylate-dicarboxylate_metabolism,GLO1
all_glyoxylate-dicarboxylate_metabolism,GRHPR
all_IL6-JAK-STAT3_signaling,TYK2
all_IL6-JAK-STAT3_signaling,IL18R1
all_IL6-JAK-STAT3_signaling,ITGA4
all_IL6-JAK-STAT3_signaling,CSF2RA
all_IL6-JAK-STAT3_signaling,SOCS1
all_IL6-JAK-STAT3_signaling,CXCL11
all_IL6-JAK-STAT3_signaling,CD14
all_IL6-JAK-STAT3_signaling,IFNAR1
all_IL6-JAK-STAT3_signaling,IFNGR1
all_IL6-JAK-STAT3_signaling,LTB
all_IL6-JAK-STAT3_signaling,MAP3K8
all_IL6-JAK-STAT3_signaling,EBI3
all_IL6-JAK-STAT3_signaling,IL1B
all_IL6-JAK-STAT3_signaling,CBL
all_IL6-JAK-STAT3_signaling,STAT1
all_IL6-JAK-STAT3_signaling,PIK3R5
all_IL6-JAK-STAT3_signaling,DNTT
all_IL6-JAK-STAT3_signaling,STAT3
all_IL6-JAK-STAT3_signaling,CNTFR
all_IL6-JAK-STAT3_signaling,SOCS3
all_IL6-JAK-STAT3_signaling,REG1A
all_IL6-JAK-STAT3_signaling,TNFRSF12A
all_IL6-JAK-STAT3_signaling,CXCL3
all_IL6-JAK-STAT3_signaling,CD44
all_IL6-JAK-STAT3_signaling,CD38
all_IL6-JAK-STAT3_signaling,IL4R
all_IL6-JAK-STAT3_signaling,CSF2RB
all_IL6-JAK-STAT3_signaling,ITGB3
